time,open,high,low,close
2020-01-03T16:28:00.000000000Z,1.11715,1.11718,1.11712,1.11718
2020-01-03T16:29:00.000000000Z,1.11716,1.11746,1.11716,1.11736
2020-01-03T16:30:00.000000000Z,1.11734,1.11751,1.11732,1.11748
2020-01-03T16:31:00.000000000Z,1.11750,1.11762,1.11750,1.11756
2020-01-03T16:32:00.000000000Z,1.11754,1.11770,1.11754,1.11759
2020-01-03T16:33:00.000000000Z,1.11761,1.11774,1.11759,1.11773
2020-01-03T16:34:00.000000000Z,1.11775,1.11799,1.11775,1.11792
2020-01-03T16:35:00.000000000Z,1.11789,1.11789,1.11778,1.11784
2020-01-03T16:36:00.000000000Z,1.11782,1.11794,1.11781,1.11792
2020-01-03T16:37:00.000000000Z,1.11794,1.11799,1.11789,1.11798
2020-01-03T16:38:00.000000000Z,1.11796,1.11798,1.11792,1.11794
2020-01-03T16:39:00.000000000Z,1.11791,1.11791,1.11784,1.11784
2020-01-03T16:40:00.000000000Z,1.11786,1.11790,1.11778,1.11781
2020-01-03T16:41:00.000000000Z,1.11779,1.11781,1.11762,1.11762
2020-01-03T16:42:00.000000000Z,1.11758,1.11758,1.11741,1.11741
2020-01-03T16:43:00.000000000Z,1.11743,1.11746,1.11738,1.11738
2020-01-03T16:44:00.000000000Z,1.11740,1.11740,1.11736,1.11738
2020-01-03T16:45:00.000000000Z,1.11735,1.11735,1.11728,1.11731
2020-01-03T16:46:00.000000000Z,1.11728,1.11730,1.11714,1.11730
2020-01-03T16:47:00.000000000Z,1.11728,1.11740,1.11728,1.11738
2020-01-03T16:48:00.000000000Z,1.11736,1.11738,1.11736,1.11738
2020-01-03T16:49:00.000000000Z,1.11740,1.11742,1.11736,1.11736
2020-01-03T16:50:00.000000000Z,1.11738,1.11740,1.11736,1.11736
2020-01-03T16:51:00.000000000Z,1.11733,1.11733,1.11716,1.11716
2020-01-03T16:52:00.000000000Z,1.11718,1.11738,1.11715,1.11738
2020-01-03T16:53:00.000000000Z,1.11736,1.11748,1.11736,1.11748
2020-01-03T16:54:00.000000000Z,1.11751,1.11754,1.11748,1.11754
2020-01-03T16:55:00.000000000Z,1.11752,1.11752,1.11745,1.11745
2020-01-03T16:56:00.000000000Z,1.11742,1.11742,1.11736,1.11736
2020-01-03T16:57:00.000000000Z,1.11738,1.11740,1.11726,1.11726
2020-01-03T16:58:00.000000000Z,1.11724,1.11724,1.11714,1.11716
2020-01-03T16:59:00.000000000Z,1.11718,1.11721,1.11712,1.11721
2020-01-03T17:00:00.000000000Z,1.11724,1.11734,1.11724,1.11727
2020-01-03T17:01:00.000000000Z,1.11725,1.11732,1.11725,1.11732
2020-01-03T17:02:00.000000000Z,1.11730,1.11740,1.11727,1.11738
2020-01-03T17:03:00.000000000Z,1.11736,1.11739,1.11732,1.11732
2020-01-03T17:04:00.000000000Z,1.11730,1.11738,1.11725,1.11736
2020-01-03T17:05:00.000000000Z,1.11739,1.11739,1.11730,1.11734
2020-01-03T17:06:00.000000000Z,1.11732,1.11736,1.11720,1.11720
2020-01-03T17:07:00.000000000Z,1.11718,1.11722,1.11716,1.11720
2020-01-03T17:08:00.000000000Z,1.11718,1.11727,1.11718,1.11727
2020-01-03T17:09:00.000000000Z,1.11725,1.11727,1.11724,1.11726
2020-01-03T17:10:00.000000000Z,1.11729,1.11734,1.11729,1.11732
2020-01-03T17:11:00.000000000Z,1.11730,1.11730,1.11724,1.11726
